USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root     13704  0.0  0.0      0     0 ?        S    13:02   0:00 [kworker/4:2]
jgorski  13705  0.0  0.0  70540  2084 ?        S    13:02   0:00 (sd-pam)
jgorski  13779  0.6  0.0 107844  5996 ?        S    13:02   0:25 sshd: jgorski@pts/5
jgorski  13780  0.0  0.0  14492  4996 pts/5    Ss   13:02   0:00 -bash
root     13809  0.0  0.0 106140  7064 ?        Ss   13:02   0:00 sshd: mbouch [priv]
mbouch   13862  0.9  0.0 106292  4452 ?        S    13:02   0:38 sshd: mbouch@pts/9
mbouch   13863  0.0  0.0  14484  4956 pts/9    Ss   13:02   0:00 -bash
root     13941  0.0  0.0      0     0 ?        S    13:05   0:00 [kworker/5:0]
postfix  14137  0.0  0.0  61624  2712 ?        S    13:32   0:00 pickup -l -t unix -u -c
root     14335  0.2  0.0      0     0 ?        S    13:46   0:03 [kworker/u32:1]
jgorski  14349  0.0  0.0  31536  3028 pts/5    S+   13:48   0:00 screen -S shared
root     14350  0.2  0.0  32012  3056 ?        Ss   13:48   0:02 SCREEN -S shared
jgorski  14351  0.0  0.0  14652  5352 pts/7    Ss   13:48   0:00 /bin/bash
jgorski  14364  0.0  0.0  31536  3056 pts/9    S+   13:48   0:00 screen -r jgorski shared
root     14423  0.0  0.0      0     0 ?        S    13:58   0:00 [kworker/u32:0]
root     14452  0.0  0.0      0     0 ?        S    14:02   0:00 [kworker/u32:3]
root     14466  0.0  0.0 106140  7064 ?        Ss   14:04   0:00 sshd: mbouch [priv]
root     14495  0.0  0.0      0     0 ?        S<   Jun05   0:00 [kworker/2:0H]
mbouch   14542  0.0  0.0 106140  3348 ?        S    14:05   0:00 sshd: mbouch@pts/11
mbouch   14543  0.0  0.0  14484  5024 pts/11   Ss+  14:05   0:00 -bash
root     14558  0.0  0.0      0     0 ?        S    14:05   0:00 [kworker/0:0]
jgorski  14575  0.0  0.0   4500   796 pts/7    S    14:08   0:00 /bin/sh -c python ai1.py
jgorski  14576  0.0  0.0   4500   700 pts/7    S    14:08   0:00 /bin/sh -c python ai2.py
jgorski  14577  0.0  0.0  24568  6544 pts/7    S    14:08   0:00 python ai1.py
jgorski  14578  0.0  0.0  24568  6556 pts/7    S    14:08   0:00 python ai2.py
jgorski  14621  0.0  0.0  29152  1476 pts/7    R+   14:09   0:00 ps -aux
rswanson 14894  0.0  0.0  15372  4916 ?        S    May13   0:00 -bash
rswanson 14896  0.0  0.0   9668  2296 ?        S    May13   0:00 make test_server
rswanson 14897  0.0  0.0   7232  4268 ?        S    May13  18:09 ./server 8080
rswanson 15202  0.0  0.0  37168  4068 ?        Ss   May02   0:01 /lib/systemd/systemd --user
rswanson 15209  0.0  0.0  70584    44 ?        S    May02   0:00 (sd-pam)
jgarey   15852  0.0  0.0  37180  2208 ?        Ss   Apr09   0:03 /lib/systemd/systemd --user
jgarey   15857  0.0  0.0  70448     4 ?        S    Apr09   0:00 (sd-pam)
root     16728  0.0  0.0  36944  2268 ?        Ss   Apr08   0:03 /lib/systemd/systemd --user
root     16731  0.0  0.0  76276   108 ?        S    Apr08   0:00 (sd-pam)
root     17348  0.0  0.0  27776  2072 ?        Ss   Apr08   0:00 SCREEN -S shared
root     17349  0.0  0.0  13152  1940 pts/10   Ss+  Apr08   0:00 /bin/bash
root     17418  0.0  0.0  32864  3488 ?        Ss   Apr09   0:00 SCREEN
nphinney 17419  0.0  0.0  14524  2900 pts/36   Ss+  Apr09   0:00 /bin/bash
nphinney 17508  0.0  0.0  14524  3636 pts/38   Ss+  Apr09   0:00 /bin/bash
nphinney 17542  0.0  0.0  14524  3528 pts/40   Ss+  Apr09   0:00 /bin/bash
root     18193  0.0  0.0  32160  2880 ?        Ss   Apr09   0:00 SCREEN -S shared
nphinney 18194  0.0  0.0  14628  3884 pts/32   Ss+  Apr09   0:00 /bin/bash
root     20316  0.0  0.0  32016  2052 ?        Ss   Apr09   0:00 SCREEN -S shared
jgarey   20317  0.0  0.0  14496  2872 pts/16   Ss+  Apr09   0:00 /bin/bash
dstanley 21249  0.0  0.0  37072  4860 ?        Ss   May18   0:00 /lib/systemd/systemd --user
dstanley 21255  0.0  0.0  70540  2084 ?        S    May18   0:00 (sd-pam)
dstanley 21387  0.0  0.0   4560   720 ?        S    May18   0:00 ./a.out
dstanley 21391  0.0  0.0      0     0 ?        Z    May18   0:00 [a.out] <defunct>
hbologna 21542  0.0  0.0  37184  2720 ?        Ss   Apr21   0:03 /lib/systemd/systemd --user
hbologna 21546  0.0  0.0  70584   280 ?        S    Apr21   0:00 (sd-pam)
awhitman 21953  0.0  0.0  37204  4908 ?        Ss   May14   0:00 /lib/systemd/systemd --user
awhitman 21956  0.0  0.0  70540  2064 ?        S    May14   0:00 (sd-pam)
dfletche 22219  0.0  0.0  37152  2772 ?        Ss   Jan13   0:08 /lib/systemd/systemd --user
dfletche 22223  0.0  0.0  70252   264 ?        S    Jan13   0:00 (sd-pam)
dfletche 22293  0.0  0.0   4500   628 ?        S    Jan13   0:00 sh /home/CS/users/dfletche/.linux/.vscode-server-oss/bin/4454769affdb83e84721305835b300e943ca0d61/server.sh --enable-remote-auto-shutdown --port=0
dfletche 22301  0.0  0.1 945560 18348 ?        Sl   Jan13   2:19 /home/CS/users/dfletche/.linux/.vscode-server-oss/bin/4454769affdb83e84721305835b300e943ca0d61/node /home/CS/users/dfletche/.linux/.vscode-server-oss/bin/4454769affdb83e84721305835b300e943ca0d61/out/vs/server/main.js --enable-remote-auto-shutdown --port=0
root     22339  0.0  0.0  32100  3048 ?        Ss   May14   0:05 SCREEN -S shared
awhitman 22340  0.0  0.0  14616  5348 pts/41   Ss+  May14   0:00 /bin/bash
dfletche 23393  0.0  0.0   4500   792 ?        S    Jan13   0:00 sh /home/CS/users/dfletche/.linux/.vscode-server-oss/bin/8b6e0efc0a98639085fabeb5226a516785424796/server.sh --host=127.0.0.1 --enable-remote-auto-shutdown --port=0
dfletche 23401  0.0  0.1 883700 16388 ?        Sl   Jan13   2:18 /home/CS/users/dfletche/.linux/.vscode-server-oss/bin/8b6e0efc0a98639085fabeb5226a516785424796/node /home/CS/users/dfletche/.linux/.vscode-server-oss/bin/8b6e0efc0a98639085fabeb5226a516785424796/out/vs/server/main.js --host=127.0.0.1 --enable-remote-auto-shutdown --port=0
